,Protein.IDs,REF1,REF2,REF3,Temp36_1,Temp36_2,Temp33_1,Osmo0.4_1,Osmo0.4_2,Osmo0.4_3,Osmo0.2_1,Osmo0.2_2,Osmo0.2_3,Osmo0.6_1,Osmo0.6_2,Osmo0.6_3,EtOH20_1,EtOH60_1,EtOH20_2,EtOH20_3,EtOH60_2,EtOH40_1,EtOH40_2,EtOH40_3,EtOH60_3,Temp33_2,Temp33_3,Temp38_1,Temp38_2,Temp38_3,Temp36_3,Osmo0.8_1,Osmo0.8_2,Osmo0.8_3,Osmo1.0_2,Osmo1.0_1,Osmo1.2_2,Osmo1.2_1,Osmo1.2_3,Osmo1.3_1,Osmo1.3_2,Osmo1.3_3,Osmo1.4_1
418,P24784,213.6466826,167.6797307,159.5956189,202.4914083,217.5138306,285.9859421,118.4649938,NA,202.0716113,NA,NA,216.2590669,NA,NA,NA,211.0763424,NA,NA,212.6316848,202.716014,NA,175.988701,143.1563169,160.9011884,176.9257551,184.6884666,149.4231244,129.3396554,187.7720106,288.7345398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,P25039,1027.803683,944.9370538,1075.918896,1154.923066,1040.436741,839.1961614,920.7779385,955.2224828,1090.793225,991.7262571,983.9652763,1167.116776,749.8822982,971.6479236,907.065423,703.773269,1503.908317,899.5136598,1070.988282,1591.460048,1602.07334,1920.127283,1562.148091,1784.136192,832.8410774,1179.247237,1348.382005,2421.241583,1864.512444,1255.254415,765.0918825,764.305032,696.8669382,1205.384672,817.8560334,752.3337174,878.321613,790.2326173,806.502743,818.5191058,951.3927489,316.9543359
421,P25045,452.7596078,465.4879697,503.2238369,424.6462808,434.6090168,505.8311792,455.5638034,547.3386379,505.9877981,537.9152704,534.1693423,606.6904202,526.5513939,490.7659473,566.1268165,397.3769015,455.4589162,483.6987054,441.4593627,478.635539,417.5697863,467.6947876,445.9534141,518.2171736,433.941669,525.124226,398.2695616,466.3080195,485.3727059,566.4510294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,P25293,2605.96964,2323.0204,2200.645095,2709.189475,3093.443627,2497.720542,2553.385768,2115.724557,3125.949437,2522.957892,2236.746336,2697.786733,2311.275907,2505.268857,2776.703441,1851.889167,2751.066032,1978.155677,1931.412268,3111.556876,2370.252461,2679.263354,2476.200475,3372.611463,2749.768206,2768.296431,3528.008416,3507.046666,3365.370182,3453.924355,1916.848692,2084.20322,2082.778211,2267.819911,2193.405886,2087.186774,1848.091667,1669.340927,2158.41019,2129.60588,2249.22142,1863.983975
425,P25296,NA,NA,NA,1843.381166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2481.069989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6735.881564,6513.19573,5771.395418,6426.159189,6073.591213,6205.113937,6061.478327,6082.74189,6169.801718,6062.972808,NA,5255.990126
427,P25303,275.1295087,308.8276082,286.3690454,252.9987227,254.8579282,291.822486,313.2069271,NA,325.3465306,282.1790765,294.4742321,418.3759659,NA,287.5771778,393.3549936,220.8351137,437.5351136,NA,289.684279,270.7952767,280.8959886,327.1773453,395.3215719,529.6693649,253.8434055,236.2621633,493.3811339,391.912276,629.5458735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,P25337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.67363786,NA,NA,NA,NA,NA,NA,83.57879902,NA,112.7508621,129.367394,112.7135907,NA,134.877035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,P25340,370.0388749,215.9494791,NA,151.854565,191.5064159,NA,564.2646859,477.7679562,NA,456.8549934,134.277725,NA,742.4922223,660.4294975,723.8460747,347.2398067,149.2406155,207.9011194,NA,NA,355.9519165,136.7971489,NA,NA,190.1177222,NA,1143.15339,772.7994566,1313.132043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,P25343,1114.589092,1157.472941,1166.81412,1098.043396,1032.824398,1102.524884,979.0510705,971.5659234,1352.231715,992.1409725,1136.960979,1220.873696,874.9614094,839.5781099,967.6278852,1160.934597,883.5804822,1028.352351,1320.797953,1002.584675,825.991732,995.4978204,1104.634072,1250.435483,1360.29529,1121.394111,713.3593948,656.1589149,698.5797748,1144.83668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,P25345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.096935856,17.52452795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,P25349,3775.748473,3814.574638,3496.337448,5560.515301,5002.013987,4121.603766,2735.598138,3171.654287,4491.339259,3067.943781,4781.972189,3324.56613,2716.622509,2793.108103,3176.494455,2857.43991,2476.26746,3153.059254,3414.553019,2796.86116,2511.232518,3107.468864,2650.949441,2920.018089,4077.791913,4248.412756,2841.044822,3546.19688,3196.185523,6642.256015,4396.92418,4135.941058,4542.215189,3450.038411,4101.53643,3552.576997,3688.78957,3564.300983,3585.713696,3369.630629,3078.570558,2160.685308
435,P25355,11.69131444,14.72341104,NA,12.44571472,14.15376773,10.17941196,NA,NA,15.37977942,NA,NA,20.45549153,12.64069811,15.75772435,17.93082799,NA,22.89366839,NA,18.62632033,9.394839117,15.28385031,7.626589536,22.85464559,24.87145612,12.45298783,18.44066734,NA,4.700194827,19.06525538,20.22528837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,P25367,655.3949163,635.100356,782.6026951,957.0372991,832.7496702,808.3500528,784.8045981,770.1497422,688.9817544,817.5274887,697.9187288,993.846426,744.6656528,852.4255627,909.5845692,609.3318292,586.8242059,594.6463339,811.7549092,762.4054796,597.7381407,691.6973964,545.0827892,720.9513476,700.7054209,986.0983256,731.6406603,871.8473138,736.9615723,1094.454289,355.5553981,359.7875586,404.1007781,361.2720883,442.4717393,443.2652623,NA,362.4198422,NA,372.0053538,445.0360952,409.5339838
438,P25368,75.7253018,77.112511,81.57535362,77.80257027,85.75639129,69.94626561,68.1028794,70.63669952,78.79767344,63.77495939,76.13432627,73.07818796,71.52739756,69.10454113,79.21366934,70.38018858,68.00331379,60.92241864,66.5487755,72.09278771,63.22879988,69.65820537,64.09572362,104.588725,86.36143081,86.11361036,61.16274377,57.91839949,67.30955305,90.10027435,64.14795755,62.52137513,62.64216604,73.62637982,64.54381436,62.09630402,59.61861753,61.77686033,42.92808837,65.87950208,NA,51.88603799
439,P25371,277.670456,274.8285339,288.8092671,250.4143042,209.320478,237.3511017,228.9000205,202.0789075,222.1623296,176.0613377,259.2719557,NA,175.9337961,167.0436603,NA,480.9166767,183.2804756,301.4434279,317.8002116,213.2662987,248.438997,233.8418238,297.7315356,NA,NA,220.8826444,298.2515481,253.4985962,86.45543452,NA,395.0383428,344.4038737,411.9307655,448.2250325,338.0822167,362.7894981,504.2592973,387.9025036,439.8275028,384.7493141,261.6082992,481.3445813
440,P25372,3762.814169,4340.490667,4731.067923,6677.899423,4610.260686,4788.587137,3325.318104,3151.833386,4470.555816,3265.900438,3707.331949,4441.601542,3222.578122,3418.588891,3302.801089,3484.712376,2785.34032,3912.804927,4753.585754,2980.405837,3579.165679,3353.452957,3401.769948,3183.729287,4432.683762,4623.38761,2731.828409,2793.470941,3363.581527,5685.446629,2132.568672,2303.231451,2531.925118,1736.265727,1911.89663,1731.189888,1667.501683,1798.520453,1628.474767,1394.282905,1326.985097,2136.831484
441,P25373,4284.847597,4701.000139,5738.675169,6710.574633,6936.761351,6975.082823,3755.710088,4340.901524,5376.861499,3922.380333,4851.654693,5178.282035,3884.607699,4900.330354,4687.300196,5571.786224,6272.359558,3956.302559,4440.75203,5044.224515,3892.571887,4227.885604,3256.963879,6402.771963,6053.577299,5295.2299,6511.576159,5228.45981,6065.79206,7131.691241,8310.223211,7854.994854,8468.289795,6258.173194,7130.684805,7602.731544,6003.901516,7080.567255,5551.458076,6094.169803,NA,9374.507528
442,P25374,406.7933203,412.5130947,426.0700031,476.4411479,448.4425054,379.9679768,377.8622699,401.5362887,457.433223,433.6090669,406.2322957,446.0656257,390.9727701,422.397934,482.7266512,479.0836089,428.611928,454.6794302,483.979848,431.993804,435.3200746,551.8490993,491.0722805,512.5190967,420.6966626,429.2114988,513.492975,670.189473,582.8616734,546.7885191,737.1918649,677.9626225,761.6759643,812.7683832,761.4035792,830.0564734,787.7723392,844.1283508,915.895819,828.9705874,NA,765.7191561
443,P25375,591.5834416,636.7765804,630.522233,490.252462,453.2729911,564.4034987,665.17542,633.1792374,613.9724729,611.376118,503.0240819,668.5485991,670.3851637,692.0109265,811.0706039,592.2962664,857.0717438,607.5332256,694.0068435,888.1080761,720.6949418,789.7555441,847.6549972,973.9826568,425.8153291,515.4653618,357.2867661,372.1888513,368.9839394,472.7660589,1473.074006,1448.95823,1402.729859,1533.05451,1568.105116,1631.554456,1727.776796,1742.063287,1778.906844,1879.878395,1520.06185,1403.87029
444,P25382,83.75453798,85.05646054,78.7536502,76.20896401,94.19296014,61.78640036,81.92724442,88.1249432,86.45410191,74.29900937,NA,85.63455847,111.6720661,106.7841639,113.3388134,52.97149044,63.79942919,NA,76.9252597,61.99039508,57.74729422,50.40880358,60.01664887,71.63118139,102.9219924,105.7896541,87.71325756,104.5674135,94.61176097,86.2982726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,P25385,288.3109809,414.5800575,NA,523.980752,448.1052517,578.60988,619.8637131,NA,501.1157123,574.907852,452.7038391,NA,511.3737239,360.4198612,NA,NA,561.1001662,328.3599358,NA,451.1303238,NA,513.5770682,601.0830572,1110.972352,491.4430314,440.2354602,NA,350.0385872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,P25386,NA,NA,34.61027157,NA,NA,10.32621702,NA,NA,8.267561479,NA,NA,7.381083953,NA,NA,9.132335888,NA,NA,NA,NA,12.09352377,NA,NA,10.28355476,11.18018317,NA,NA,NA,NA,NA,8.782599813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,P25441,181.7119282,204.413613,185.1236327,220.8027372,244.8755789,172.0876066,160.8576662,175.3687306,184.7997959,187.6680937,158.9901236,225.6759226,170.6421597,186.7882958,219.6093223,157.8902688,254.3037164,184.8367484,219.5597679,290.5220645,205.3239846,181.7655253,225.6070728,323.3358094,221.1170039,242.3492682,237.5719188,227.0367016,271.0837792,225.4557509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,P25443,56965.25287,52198.44613,57613.80634,47718.96783,53168.74985,47753.60664,57235.93504,62616.73315,61842.45725,56435.22115,68499.74701,67149.75984,58729.52488,66393.86238,71232.66212,41901.97655,45429.97829,52246.27903,55787.30211,51321.3719,46677.1827,51771.85915,56532.21453,55189.68388,63059.97208,67139.21662,61394.06614,55321.7764,64061.37389,69990.94372,51917.24086,51945.12765,53060.73864,58357.6641,50578.96769,47289.47981,49549.76603,46271.28527,51322.88882,49379.88938,51766.37635,35261.42846
449,P25454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,P25491,6666.602161,6981.058334,7558.979739,10622.37183,9055.134421,8166.226718,7543.697049,7890.286638,7893.449359,7518.017263,6698.728847,8831.773687,7812.55068,7454.145143,8682.716954,7909.918815,4938.877482,6201.246272,7439.36107,5218.834466,5813.731949,6158.687115,6056.612335,6815.945331,8091.474808,8494.51183,11511.91052,8745.592502,11572.60931,10239.71912,12900.96111,12007.80167,13692.02426,11469.68137,13739.19204,14205.26002,12113.11615,13305.34604,14398.04941,12267.73303,13077.86634,11361.87081
452,P25559,NA,110.936391,121.16717,NA,94.08832944,NA,139.1165171,NA,NA,NA,NA,161.335386,NA,84.42113429,NA,143.7324374,240.5429294,NA,NA,NA,NA,NA,178.4523215,NA,NA,NA,NA,111.0779592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,P25567,631.4656387,685.8999883,726.5184031,691.7063915,889.0817732,675.5042598,815.4798402,814.2816777,871.7525224,765.7554597,714.6650248,975.7168848,692.8719564,886.3615453,884.1482543,476.0696688,1197.666577,562.5227442,668.3146533,1148.253795,808.650979,700.3717243,814.645963,1705.663622,1031.542072,1067.747142,1259.686272,988.7345162,1263.056419,1012.612439,527.3253301,NA,484.1547628,NA,580.1275306,534.1678099,NA,NA,592.5220241,648.3694304,575.7223011,354.0362388
456,P25573,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,P25574,817.1921292,861.7344481,927.3989349,982.8879986,873.2088959,935.4254626,754.7033287,749.5380001,1007.249565,814.3001093,863.1198008,839.5709922,723.4189183,681.0496263,836.9003505,1008.680382,924.5424834,930.5877142,1099.650242,925.4883533,872.2515944,894.1842599,982.9465186,1148.095342,849.3761378,920.9323491,900.4390019,795.0840502,906.1721573,1030.866312,1014.625436,1086.171059,946.7374482,1267.790373,1114.438918,1190.98181,1169.370965,1203.01653,1147.503146,1247.817888,1506.093447,944.353412
458,P25576,354.7978412,392.0948693,458.2990935,458.8336729,451.6605975,478.8109817,741.1053876,786.820114,384.9808993,683.220608,435.8020526,781.6246767,764.2656232,874.0772058,908.37575,379.7490929,401.9257475,487.6693959,553.6166122,426.0707619,289.4329457,338.2301267,353.8159057,436.1737705,374.8223473,433.327793,590.2308758,521.0087911,667.6547531,544.5089427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,P25580,NA,148.9530365,NA,NA,160.3628704,165.9603953,283.5283211,353.2436422,358.728001,NA,NA,NA,264.8234251,162.6300864,NA,411.375008,183.4800975,NA,416.2732823,NA,NA,NA,NA,NA,280.4621254,375.3814089,412.6126078,305.6865665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,P25616,NA,18.00456966,16.85725797,16.99233471,NA,18.74581674,16.72119517,NA,23.47057898,16.9488032,NA,6.794038972,NA,NA,7.886011399,21.05272352,NA,NA,5.808343954,NA,NA,NA,11.53316497,NA,23.12689684,5.839054684,NA,NA,13.53236285,7.352119502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,P25617,267.4158499,306.564128,851.2264183,239.6541361,335.8642548,224.3271706,496.430687,278.7090148,293.0238961,434.16918,342.7936774,390.9686901,258.4752272,246.1636838,316.766697,NA,301.5372864,262.141923,349.5628799,298.5665928,322.0995604,273.2212715,397.520665,393.7564761,350.9879486,314.609495,268.6104325,253.7486054,368.7543005,301.8015399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,P25619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.5474808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,P25623,912.517976,1046.955874,1096.342466,1239.721225,1170.983263,1026.765842,695.0395853,720.8519979,1219.698416,888.5863113,958.5085578,882.065493,781.6979846,865.7186633,727.461883,1208.995812,1536.707123,1063.832896,1411.593203,1441.884565,1181.721082,1393.856661,1151.795779,1474.259264,856.9828544,1104.547152,964.0379347,1196.569362,1057.383976,1261.793861,805.0254794,730.3391477,930.3806657,702.4543951,890.262845,867.6916156,711.8650304,771.2041091,862.0056602,616.8337128,871.8408302,1056.525519
466,P25626,2131.419752,2163.355709,1947.147679,1581.059836,1753.79859,1554.701086,1803.231149,2071.106796,2592.56684,1650.28387,1807.095451,2425.904663,1584.37807,1733.774467,2386.608703,1390.151436,1827.447173,1866.607831,1989.369679,2316.072839,2326.336739,3649.047525,3054.81867,2346.514553,1584.061448,2008.779393,1453.363309,2622.111639,2197.907495,2142.133443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,P25631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,P25632,128.9474464,103.3155792,NA,112.119595,NA,98.99607123,NA,126.9023914,145.7863393,NA,236.3308243,130.9263893,129.1314072,NA,NA,NA,152.3380064,NA,NA,NA,133.130689,124.3673115,NA,168.7412209,NA,NA,152.8067612,110.8921149,108.5806832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,P25642,908.5712669,967.3861393,1048.062056,822.327609,582.2898676,863.2681357,984.5043179,994.4014252,NA,946.8780127,1079.830546,1155.599615,826.8562016,1096.810134,1026.406209,643.895402,979.0638652,807.0772756,886.0637334,1249.347781,1167.940593,1595.14873,1599.019829,1217.486885,819.7319419,834.1402874,832.259475,1068.31297,944.7013848,911.292162,946.7534665,NA,828.1588125,NA,1020.648582,1327.287014,944.0154921,650.281557,1303.50701,1008.674087,NA,462.1237774
474,P25719,7701.02215,8332.540145,9281.849613,9656.445444,8192.84281,8730.851154,9805.04223,9027.050486,10394.61987,8946.222276,9588.888978,10878.26971,10441.81069,9435.572552,9497.848796,9819.831312,11088.34645,8231.604539,10577.94457,11022.94099,12215.50284,13745.69055,11228.06887,10727.50185,8074.596439,7565.346753,7313.808226,8183.375252,7584.537317,8689.969343,14276.59612,13439.81366,12715.18078,16284.31853,13990.42444,13615.19693,14104.92669,12614.60225,15202.82482,15493.28954,15492.40244,14200.42031
475,P25808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.82926077,15.64604975,31.99370758,NA,NA,NA,NA,NA,26.17486983,41.57842126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,P25847,3.331039324,8.396597396,6.072403137,7.143212374,5.324062852,6.93971957,9.064261055,3.719474279,5.118907017,4.027811347,4.849122527,6.113747603,5.041777786,6.008623873,NA,13.03668421,9.959539135,4.906135517,5.577310594,12.0998539,7.269633786,10.61530145,NA,18.75074367,8.88010283,5.8635984,NA,7.153729598,8.715789832,8.768905329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,P26263,2438.772964,468.4302269,2957.514678,1257.956072,2336.553246,1070.358395,1650.62921,1739.918902,2007.233235,1169.860587,2184.041885,2590.595383,1120.455905,686.8148466,NA,2212.925401,1037.565483,1670.779171,2110.125041,NA,NA,NA,NA,NA,2492.654114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,P26321,40046.40929,40526.03489,42993.14131,36561.647,39991.26794,43707.537,42635.50065,44242.9578,47158.36548,45020.20281,40502.48693,50543.67342,42945.46239,42140.60819,54704.74024,35176.00929,40453.12519,37289.24197,42614.64817,41111.63669,42541.82485,36174.57056,42155.89961,46211.07134,49611.94307,48690.12295,46986.70712,37686.40788,48098.79935,45221.7335,33247.04897,34630.27263,35575.98097,38860.11089,33793.08645,30590.79592,33375.57163,33104.57233,33656.18868,36408.4601,44798.90084,23478.93337
479,P26570,353.562963,305.7794785,363.7769427,NA,300.9481575,333.8881862,388.4184451,483.9019556,325.5138515,399.6915252,NA,386.4523135,521.8105758,505.169391,553.5676551,249.9770489,595.6478123,363.6964496,394.4721469,608.8737585,342.4066187,363.7248549,NA,NA,241.3616181,299.7246991,393.4113497,551.4047267,493.7523771,327.3711194,967.0917674,NA,823.1041823,801.5003314,903.0073057,992.6423272,NA,750.0590315,896.4347316,817.0313952,NA,667.9329655
480,P26637,2504.041191,2539.276536,2609.578555,2937.371699,2935.571032,2492.754996,2774.216664,2807.981318,2903.875965,2728.302902,2523.383008,2835.230281,2886.670025,3107.776082,3537.983597,2131.362619,4385.945755,2270.393998,2516.558509,4662.365219,2980.038579,3275.556585,3476.711675,5165.128426,2875.045566,3313.981969,3408.211879,3059.111914,4031.72331,3137.574497,4462.015057,4678.731079,4410.087175,5620.359601,4801.215061,4982.661189,5256.856325,5012.779772,5624.226567,5624.779426,6233.686784,6102.779495
482,P26755,410.8669695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,P26785,10223.81765,9445.708846,9812.736998,9179.977374,9810.085265,9060.265932,10422.68749,10435.42092,11473.52103,9586.010173,9116.007414,12291.25462,9781.66939,10447.43378,12467.49224,7394.657132,9182.880042,7993.442811,10643.47153,9056.875326,9905.783621,9205.00045,10702.30558,11712.2828,10922.0671,11409.5138,9644.585687,8802.67229,10695.21117,11049.2225,10068.92041,10225.01033,10636.03034,10505.53188,10221.21964,9391.211204,9322.620495,8873.171297,9507.799798,9363.781366,10068.18502,6487.22773
487,P26793,281.4559785,275.0356761,254.9428362,233.821709,232.6684577,222.8169424,240.7470763,264.9879297,310.2428266,282.2136879,286.9623138,215.8795186,261.2716515,243.3865551,254.1334939,317.27771,209.112457,297.4304385,NA,231.3845729,212.7329416,209.1786894,270.122567,302.1384895,214.512194,NA,136.4594074,155.8443554,NA,215.0710469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,P27344,NA,NA,NA,23.13046868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.55210279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,P27466,208.5141706,244.1748095,245.1120386,237.2975172,237.2925071,156.9205745,211.9549336,142.8968406,262.3450038,202.5943166,222.2927672,271.7455042,188.5632224,195.364465,240.2908154,276.4307715,369.1008968,215.7469633,236.5682778,389.8547403,332.459395,368.4595715,291.4710142,421.7939769,193.6477594,217.7575864,198.5114419,322.6665798,272.3117367,185.6448078,124.2028318,134.7552591,116.1282306,NA,134.2538026,108.3246886,117.810655,107.1854466,127.8330074,NA,194.2113174,110.8962177
490,P27472,1004.946645,581.5732743,809.2764227,1635.142165,951.778105,1136.696973,563.4794174,585.0766184,861.3366621,795.5045738,923.0485414,713.8335788,578.182961,359.3801721,461.0815343,647.6616031,1013.641366,602.6836568,940.7442426,1096.022322,513.1191771,766.5522932,536.8983725,1321.299061,525.2099907,1362.697716,640.5354443,958.7392481,805.9708392,1434.2211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,P27514,60.23894675,84.59956105,101.8794005,83.55410973,86.41579087,88.04114319,78.96820096,126.8339953,101.1422988,67.10888307,NA,NA,64.83350668,100.6208961,84.59956105,113.071892,141.0108002,128.370118,164.0761047,188.6091439,123.3363258,108.6049041,162.353406,140.2746461,111.8445107,100.3476023,128.3080226,125.617281,171.5163034,103.634886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,P27616,13333.67722,13110.61984,13913.68935,13891.09103,14748.21863,13497.44339,14467.28985,14834.97285,14992.13018,12603.26371,14305.26798,14965.89623,14601.52465,14589.61211,17091.99236,21019.13087,13118.48883,19884.93708,20864.40959,14425.91229,17138.15473,21046.11681,19755.53012,12660.04248,15934.52734,16754.25773,12315.26576,11778.44081,13778.22652,15120.04151,17061.05192,16305.51507,17064.79106,18365.59249,17242.84801,15618.29471,16676.51514,15907.15048,15900.08064,16245.48003,14372.84695,12721.59263
496,P27697,107.1702651,106.7306616,126.5908962,135.5464433,91.09538673,106.7755831,112.2624607,NA,115.1216367,97.05710674,105.1532658,125.8725107,104.9412167,129.0151227,108.4704789,148.9814388,72.54823574,130.0860106,111.6034641,112.36657,105.075687,100.3479305,136.0689816,105.5703345,97.58561822,89.23296635,110.0183981,122.1894908,119.4723706,135.64383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,P27801,NA,66.37054729,NA,NA,NA,NA,58.12795772,NA,113.1448145,NA,NA,NA,NA,NA,NA,NA,83.2215195,NA,123.7868152,70.41594738,121.6835571,75.36808269,71.42414226,46.60486165,28.3680565,NA,NA,NA,100.1567895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,P27929,315.5042867,300.9560827,278.0827734,244.0007215,212.1037596,257.9874896,323.4338881,300.0473589,325.2990303,333.6535704,262.1018423,384.9032519,294.4653015,335.8190853,378.8202063,202.7684541,532.73693,274.8231354,267.431888,535.5319023,465.042719,548.4108172,420.7343083,560.4343158,216.2736865,281.8594254,194.9241789,265.0650669,241.1459946,256.3041195,NA,NA,334.2054854,437.6761431,262.7680703,314.4339517,257.2698319,380.2006736,390.7979259,388.8141427,360.3902732,NA
500,P28005,NA,NA,NA,461.4498079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67295867,165.6668802,NA,NA,NA,88.9827073,51.24043523,108.2321373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,P28007,3196.700638,3089.162691,3385.903875,2333.868334,3171.617188,2678.560784,3244.230529,3244.657457,3554.296096,3200.642827,3822.36292,3605.754902,3291.216982,3231.26296,3688.555916,2542.264476,2357.748221,2276.547899,2443.259378,2572.905355,2524.693018,2586.94282,2520.305838,2817.523942,3250.860573,3442.635021,2261.306188,2114.592797,2427.264424,3118.466074,3816.79374,3650.846186,3948.187112,3228.323686,3486.194967,3801.464237,3393.014613,3185.343045,3327.474442,3783.72087,3486.759475,4554.520507
502,P28239,66.82404062,NA,NA,37.96705339,59.92435749,61.02966401,47.98346255,59.15345133,NA,45.84686389,NA,48.12969529,29.55118261,25.63771743,NA,45.40428843,NA,NA,48.78501122,68.64153835,69.53307747,NA,78.06789026,66.96134805,NA,NA,57.73776768,94.28124596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,P28240,2777.90728,2091.839712,2984.433472,2569.759786,2244.970399,3128.215691,2433.651129,2209.916168,2911.001906,3292.522708,2513.624849,3463.495699,1919.074471,2347.521379,2718.081137,22212.30049,268.354806,11288.04744,8492.204727,1252.11506,17558.51923,5271.89276,13823.22993,174.0150965,1660.14026,2146.642553,194.1600472,123.4074234,109.735285,3105.312342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,P28241,11159.04246,11803.58975,11723.35881,11792.50592,14583.57587,12319.40089,14447.00148,16279.39546,13278.64845,13903.92058,13306.78863,14333.6371,17280.429,19837.83866,20899.99046,25520.91046,27931.53895,35066.75538,41365.41602,32825.40467,44661.59331,47900.94959,46946.84774,30462.78173,14063.76373,17324.00813,12045.41076,12706.39064,13037.61794,17602.11194,19142.04729,20197.60682,19397.6259,29050.45396,22021.91697,23973.75957,25453.58118,21935.36496,25693.74214,25743.02456,25784.23789,16643.88239
505,P28272,2455.48248,2561.21928,2660.957605,2592.184574,2657.008424,2354.40857,2572.259018,2554.276325,2630.075329,2634.526196,2306.483221,3251.529743,2676.472233,2879.209193,3031.824346,2156.848716,2364.046318,2144.961692,2858.065575,2211.875805,1922.667966,2091.096509,2496.398628,2776.938539,2798.643546,2344.235009,2459.3616,2496.050577,3109.495921,3276.223399,3462.480423,3161.907127,3120.299412,3180.121534,3180.407799,3118.646857,3215.137887,2776.95121,2849.516109,2970.002542,2802.058073,2584.197648
