Rxn name	Formula	Gene-reaction association	LB	UB	Objective
y000844	dccoa[p] + h2o[p]  -> coa[p] + dca[p] + h[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
y000845	h2o[p] + ddcacoa[p]  -> coa[p] + h[p] + ddca[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
y000847	h2o[p] + pmtcoa[p]  -> coa[p] + h[p] + hdca[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
y000848	h2o[p] + tdcoa[p]  -> coa[p] + h[p] + s_1166[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
y000849	h2o[p] + stcoa[p]  -> coa[p] + h[p] + ocdca[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
y000850	h2o[p] + occoa[p]  -> coa[p] + h[p] + octa[p] 	YALI0_F14729g	  0.00	1000.00	  0.00
PPYRDC	h[c] + phpyr[c]  -> co2[c] + pacald[c] 	YALI0_D06930g	  0.00	1000.00	  0.00
PRAIi	pran[c]  -> 2cpr5p[c] 	YALI0_B07667g	  0.00	1000.00	  0.00
POLYAO	h2o[c] + o2[c] + m898[c]  -> h2o2[c] + aproa[c] + m899[c] 	YALI0_B23430g	  0.00	1000.00	  0.00
POLYAO2	h2o[c] + o2[c] + m901[c]  -> h2o2[c] + aproa[c] + m898[c] 	YALI0_B23430g	  0.00	1000.00	  0.00
POLYAO3	h2o[c] + o2[c] + sprm[c]  -> h2o2[c] + spmd[c] + aproa[c] 	YALI0_B23430g	  0.00	1000.00	  0.00
y000964	atp[c] + gthrd[c] + h2o[c]  -> adp[c] + gthrd[v] + h[c] + pi[c] 	YALI0_E25069g or YALI0_F12089g	  0.00	1000.00	  0.00
y001004	h2o[er] + psph1p[er]  -> pi[er] + psphings[er] 	YALI0_E21197g	  0.00	1000.00	  0.00
y001005	h2o[er] + sph1p[er]  -> pi[er] + sphgn[er] 	YALI0_E21197g	  0.00	1000.00	  0.00
y001028	atp[c] + h2o[c] + tchola[c]  -> adp[c] + h[c] + pi[c] + tchola[v] 	YALI0_E14234g	  0.00	1000.00	  0.00
THMDPe	2 h2o[e] + thmpp[e]  -> h[e] + 2 pi[e] + thm[e] 	YALI0_C06930g	  0.00	1000.00	  0.00
THMPe	h2o[e] + thmmp[e]  -> pi[e] + thm[e] 	YALI0_C06930g	  0.00	1000.00	  0.00
XPPT	xan[c] + prpp[c]  -> ppi[c] + xmp[c] 	YALI0_E16753g	  0.00	1000.00	  0.00
y001096	mev__R[e]  -> mev__R[c] 		  0.00	1000.00	  0.00
y001099	2oxoadp[m] + akg[c]  -> 2oxoadp[c] + akg[m] 	YALI0_D02629g	  0.00	1000.00	  0.00
3DH5HPBtm	3dh5hpb[c]  -> 3dh5hpb[m] 		  0.00	1000.00	  0.00
ABUTt2r	4abut[e] + h[e]  -> 4abut[c] + h[c] 	YALI0_A03135g or YALI0_A07579g or YALI0_A19558g or YALI0_B09537g or YALI0_D00495g or YALI0_D15422g or YALI0_D17688g or YALI0_E07205g or YALI0_F01078g	  0.00	1000.00	  0.00
5AOPt2	5aop[e] + h[e]  -> 5aop[c] + h[c] 	YALI0_A03135g or YALI0_A07579g or YALI0_A19558g or YALI0_D00495g or YALI0_D17688g or YALI0_E07205g or YALI0_F01078g	  0.00	1000.00	  0.00
y001103	5fthf[e]  -> 5fthf[c] 		  0.00	1000.00	  0.00
y001104	h[e] + 8aonn[e]  -> h[c] + m172[c] 	YALI0_F01078g or YALI0_A19558g or YALI0_E07205g or YALI0_D17688g or YALI0_A03135g or YALI0_D00495g or YALI0_E18139g or YALI0_A07579g	  0.00	1000.00	  0.00
y001106	ac[c]  -> ac[e] 	YALI0_C23298g or YALI0_C23617g or YALI0_E12837g or YALI0_E27291g or YALI0_F13145g or YALI0_F16225g	  0.00	1000.00	  0.00
y001107	s_0685[c]  -> s_0686[e] 		  0.00	1000.00	  0.00
ADEt2	ade[e] + h[e]  -> ade[c] + h[c] 	YALI0_D07392g or YALI0_F30569g	  0.00	1000.00	  0.00
ADNt2	adn[e] + h[e]  -> adn[c] + h[c] 	YALI0_C23342g	  0.00	1000.00	  0.00
y001110	adp[c] + atp[m]  -> adp[m] + atp[c] 	YALI0_A10659g or YALI0_D08228g or YALI0_F19712g	  0.00	1000.00	  0.00
y001111	adp[p] + atp[c] + h[p]  -> adp[c] + atp[p] + h[c] 	YALI0_E03058g	  0.00	1000.00	  0.00
y001112	akg[c] + cit[m]  -> akg[m] + cit[c] 	YALI0_B10736g	  0.00	1000.00	  0.00
ALLTTti	alltt[e]  -> alltt[c] 	YALI0_C13574g or YALI0_C16907g or YALI0_D05819g or YALI0_D13970g or YALI0_F16423g	  0.00	1000.00	  0.00
ALLTNti	alltn[e]  -> alltn[c] 	YALI0_D05621g	  0.00	1000.00	  0.00
y001115	nh3[e]  -> nh3[c] 	YALI0_E27203g or YALI0_F12925g or YALI0_F16896g	  0.00	1000.00	  0.00
y001116	amp[p] + atp[c] + h[p]  -> amp[c] + atp[p] + h[c] 	YALI0_E03058g	  0.00	1000.00	  0.00
y001118	CE1787[m] + glu__L[c]  -> CE1787[c] + glu__L[m] 	YALI0_D26147g	  0.00	1000.00	  0.00
BTNt2i	h[e] + btn[e]  -> btn[c] + h[c] 	YALI0_C00627g or YALI0_C17281g or YALI0_C17303g	  0.00	1000.00	  0.00
CRNCARtm	crn[m] + acrn[c]  -> crn[c] + acrn[m] 	YALI0_C02431g	  0.00	1000.00	  0.00
y001121	s_0487[er]  -> s_0488[g] 		  0.00	1000.00	  0.00
y001122	s_0490[er]  -> s_0491[g] 		  0.00	1000.00	  0.00
y001123	s_0493[er]  -> s_0494[g] 		  0.00	1000.00	  0.00
y001124	s_0496[er]  -> s_0497[g] 		  0.00	1000.00	  0.00
CHLt2	chol[e] + h[e]  -> chol[c] + h[c] 	YALI0_A18183g	  0.00	1000.00	  0.00
CITtam	mal__L[m] + cit[c]  -> mal__L[c] + cit[m] 	YALI0_F26323g	  0.00	1000.00	  0.00
CITtbm	cit[c] + pep[m]  -> cit[m] + pep[c] 	YALI0_F26323g	  0.00	1000.00	  0.00
CITtcm	cit[c] + icit[m]  -> cit[m] + icit[c] 	YALI0_F26323g	  0.00	1000.00	  0.00
COAtim	coa[c]  -> coa[m] 	YALI0_F15433g	  0.00	1000.00	  0.00
CTPtm	cmp[m] + ctp[c] + h[c]  -> cmp[c] + ctp[m] + h[m] 	YALI0_F05500g	  0.00	1000.00	  0.00
y001131	cmp[m] + ctp[c] + 2 h[c]  -> cmp[c] + ctp[m] + 2 h[m] 	YALI0_F05500g	  0.00	1000.00	  0.00
CYTDt2	cytd[e] + h[e]  -> cytd[c] + h[c] 	YALI0_C23342g	  0.00	1000.00	  0.00
CSNt2	csn[e] + h[e]  -> csn[c] + h[c] 	YALI0_D07392g or YALI0_F30569g	  0.00	1000.00	  0.00
FRUt2	fru[e] + h[e]  -> fru[c] + h[c] 	YALI0_F19184g	  0.00	1000.00	  0.00
GALt2	gal[e] + h[e]  -> gal[c] + h[c] 	YALI0_F19184g	  0.00	1000.00	  0.00
D_LACt2	lac__D[e] + h[e]  -> lac__D[c] + h[c] 	YALI0_C15488g or YALI0_C21406g or YALI0_D20108g or YALI0_D24607g or YALI0_E32901g	  0.00	1000.00	  0.00
D_LACtm	lac__D[c] + h[c]  -> lac__D[m] + h[m] 		  0.00	1000.00	  0.00
MANt2	man[e] + h[e]  -> man[c] + h[c] 	YALI0_F19184g	  0.00	1000.00	  0.00
EPISTt	epist[e]  -> epist[c] 	YALI0_E14729g or YALI0_F17996g or YALI0_D25828g or YALI0_B02544g or YALI0_C20265g or YALI0_B12980g	  0.00	1000.00	  0.00
ERGSTt	ergst[e]  -> ergst[c] 	YALI0_E14729g or YALI0_F17996g or YALI0_D25828g or YALI0_B02544g or YALI0_C20265g or YALI0_B12980g	  0.00	1000.00	  0.00
ETHAt	etha[e]  -> etha[c] 		  0.00	1000.00	  0.00
y001151	fadh2[m]  -> fadh2[c] 	YALI0_A16863g	  0.00	1000.00	  0.00
FECOSTt	fecost[e]  -> fecost[c] 	YALI0_B02544g or YALI0_F17996g or YALI0_B12980g or YALI0_C20265g or YALI0_E14729g	  0.00	1000.00	  0.00
y001164	fol[e]  -> fol[c] 		  0.00	1000.00	  0.00
GDPMANNtg	gdpmann[c] + gmp[g]  -> gdpmann[g] + gmp[c] 	YALI0_F21791g	  0.00	1000.00	  0.00
GLCt1	glc__D[e]  -> glc__D[c] 	YALI0_A14212g or YALI0_B00396g or YALI0_F19184g	  0.00	1000.00	  0.00
GTHRDt2	gthrd[e]  -> gthrd[c] 	YALI0_C22616g	  0.00	1000.00	  0.00
y001168	gthrd[c]  -> gthrd[v] 	YALI0_E25069g or YALI0_F12089g	  0.00	1000.00	  0.00
G3PIt	g3pi[e]  -> g3pi[c] 	YALI0_D08382g	  0.00	1000.00	  0.00
G3PCt	g3pc[e]  -> g3pc[c] 	YALI0_D08382g	  0.00	1000.00	  0.00
GLYCt2	glyc[e] + h[e]  -> glyc[c] + h[c] 	YALI0_E30283g	  0.00	1000.00	  0.00
GLYCt	glyc[c]  -> glyc[e] 	YALI0_E05665g or YALI0_F00462g	  0.00	1000.00	  0.00
GLYt2r	h[e] + gly[e]  -> h[c] + gly[c] 	YALI0_B09537g or YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
GLCNtv	glycogen[c]  -> glycogen[v] 		  0.00	1000.00	  0.00
GTPt2m	gdp[m] + gtp[c] + h[c]  -> gdp[c] + gtp[m] + h[m] 	YALI0_C14498g	  0.00	1000.00	  0.00
GUAt2r	gua[e] + h[e]  -> gua[c] + h[c] 	YALI0_D07392g or YALI0_F30569g	  0.00	1000.00	  0.00
INSTt2	h[e] + inost[e]  -> h[c] + inost[c] 	YALI0_F23903g	  0.00	1000.00	  0.00
FE2utm	fe2[c]  -> fe2[m] 		  0.00	1000.00	  0.00
IAMACt	iamac[c]  -> iamac[e] 		  0.00	1000.00	  0.00
IBUTACt	ibutac[c]  -> ibutac[e] 		  0.00	1000.00	  0.00
IPDPtm	ipdp[c]  -> ipdp[m] 		  0.00	1000.00	  0.00
ALAt2r	h[e] + ala__L[e]  -> h[c] + ala__L[c] 	YALI0_B09537g or YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
ARGt2r	h[e] + arg__L[e]  -> h[c] + arg__L[c] 	YALI0_B16522g or YALI0_B19338g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
ASNt2r	h[e] + asn__L[e]  -> h[c] + asn__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
ASNt6	h[v] + asn__L[c]  -> h[c] + asn__L[v] 	YALI0_F30063g	  0.00	1000.00	  0.00
ASNt7	h[v] + asn__L[v]  -> h[c] + asn__L[c] 	YALI0_E10637g	  0.00	1000.00	  0.00
y001189	h[v] + CE1787[v]  -> h[c] + CE1787[c] 	YALI0_D11836g	  0.00	1000.00	  0.00
y001190	h[e] + CE1787[e]  -> h[c] + CE1787[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_E20713g or YALI0_F19866g	  0.00	1000.00	  0.00
CRNt	crn[e]  -> crn[c] 	YALI0_C07678g	  0.00	1000.00	  0.00
CYSt2r	h[e] + cys__L[e]  -> h[c] + cys__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C09889g or YALI0_C17237g or YALI0_E10219g or YALI0_F19866g	  0.00	1000.00	  0.00
GLUt7m	glu__L[c]  -> glu__L[m] 	YALI0_D26147g	  0.00	1000.00	  0.00
GLUt7	h[v] + glu__L[v]  -> h[c] + glu__L[c] 	YALI0_D11836g	  0.00	1000.00	  0.00
GLUt2r	h[e] + glu__L[e]  -> h[c] + glu__L[c] 	YALI0_B16522g or YALI0_B19492g or YALI0_B19800g or YALI0_C00451g or YALI0_C09889g or YALI0_C17237g or YALI0_D15422g or YALI0_E10219g or YALI0_E20713g or YALI0_F19866g	  0.00	1000.00	  0.00
GLNt6	h[v] + gln__L[c]  -> h[c] + gln__L[v] 	YALI0_F30063g	  0.00	1000.00	  0.00
GLNt7	h[v] + gln__L[v]  -> h[c] + gln__L[c] 	YALI0_E10637g	  0.00	1000.00	  0.00
