ecnumber	sub	organism	kcat	sd
EC1.5.3.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0433	*
EC1.5.5.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	17.6	*
EC1.5.5.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	28.6	*
EC1.5.8.3	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.279	*
EC1.5.8.3	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.263	*
EC1.5.8.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.165	*
EC1.5.8.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	129	*
EC1.5.8.4	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.157	*
EC1.5.99.4	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0222	*
EC1.5.99.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.000514	*
EC1.6.1.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	62.3	*
EC1.6.1.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2.6	*
EC1.6.2.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	137	*
EC1.6.2.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1510	*
EC1.6.2.2	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.00072	*
EC1.6.2.2	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	1575	*
EC1.6.2.2	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	670	*
EC1.6.2.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2480	*
EC1.6.2.2	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.372	*
EC1.6.2.4	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	14.5	*
EC1.6.2.4	*	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	40	*
EC1.6.2.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	36	*
EC1.6.2.4	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.258	*
EC1.6.2.4	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	38	*
EC1.6.2.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	63.8	*
EC1.6.2.4	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	26.1	*
EC1.6.3.1	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.033	*
EC1.6.3.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.002	*
EC1.6.5.10	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.258	*
EC1.6.5.10	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0012	*
EC1.6.5.10	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0044	*
EC1.6.5.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	800	*
EC1.6.5.2	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	1770	*
EC1.6.5.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	5860	*
EC1.6.5.3	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	102	*
EC1.6.5.5	*	camelus dromedarius//eukaryotes;animals;vertebrates;mammals//cdk	25.1	*
EC1.6.99.3	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	790	*
EC1.7.1.11	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.27	*
EC1.7.1.12	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	910	*
EC1.7.1.6	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	57	*
EC1.7.1.7	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.35	*
EC1.7.1.9	*	felis catus//eukaryotes;animals;vertebrates;mammals//fca	0.12	*
EC1.7.1.9	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.07	*
EC1.7.1.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.5	*
EC1.7.3.3	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	15.3	*
EC1.8.1.10	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00085	*
EC1.8.1.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	586.5	*
EC1.8.1.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	133	*
EC1.8.1.4	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	210	*
EC1.8.1.7	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	204	*
EC1.8.1.7	*	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	248	*
EC1.8.1.7	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	314	*
EC1.8.1.7	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	158	*
EC1.8.1.7	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	180	*
EC1.8.1.7	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	193.3	*
EC1.8.1.7	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	269	*
EC1.8.1.7	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	221	*
EC1.8.1.9	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	22	*
EC1.8.1.9	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	42	*
EC1.8.1.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	35	*
EC1.8.3.1	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	0.4036	*
EC1.8.3.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	90	*
EC1.8.3.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	103.8	*
EC1.8.3.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	9.515	*
EC1.8.4.11	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.238	*
EC1.8.4.11	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00021	*
EC1.8.4.12	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.452	*
EC1.8.4.12	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.484	*
EC1.8.4.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	16000	*
EC1.8.4.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4.1	*
EC1.8.4.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	3273	*
EC1.8.4.3	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.513	*
EC1.8.4.3	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	13300	*
EC1.8.5.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	13.8	*
EC1.8.5.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.31	*
EC1.8.5.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	581	*
EC1.9.3.1	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.018	*
EC1.9.3.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.51	*
EC2.1.1.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.15	*
EC2.1.1.10	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0087	*
EC2.1.1.100	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.000143	*
EC2.1.1.13	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.53	*
EC2.1.1.13	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0327	*
EC2.1.1.137	*	macaca fascicularis//eukaryotes;animals;vertebrates;mammals//mcf	1.20E-09	*
EC2.1.1.137	*	macaca mulatta//eukaryotes;animals;vertebrates;mammals//mcc	1.28E-06	*
EC2.1.1.137	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	2.41E-08	*
EC2.1.1.137	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	1.67E-06	*
EC2.1.1.137	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00149	*
EC2.1.1.15	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.80E-05	*
EC2.1.1.17	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	8.59	*
EC2.1.1.2	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0006	*
EC2.1.1.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.16	*
EC2.1.1.2	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	27.2	*
EC2.1.1.20	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.7	*
EC2.1.1.20	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.132	*
EC2.1.1.233	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0046	*
EC2.1.1.26	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0002	*
EC2.1.1.28	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.00658	*
EC2.1.1.28	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.37E-05	*
EC2.1.1.28	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	188	*
EC2.1.1.319	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.000144	*
EC2.1.1.43	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.0027	*
EC2.1.1.45	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.1024	*
EC2.1.1.45	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.8	*
EC2.1.1.45	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	1.33	*
EC2.1.1.45	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.6	*
EC2.1.1.49	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	3.30E-06	*
EC2.1.1.49	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0031	*
EC2.1.1.49	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.000198	*
EC2.1.1.5	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	940	*
EC2.1.1.5	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.000103	*
EC2.1.1.5	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0187	*
EC2.1.1.5	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0392	*
EC2.1.1.56	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.000593	*
EC2.1.1.6	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.092	*
EC2.1.1.6	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2172	*
EC2.1.1.62	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.000418	*
EC2.1.1.67	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.03	*
EC2.1.1.71	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.79	*
EC2.1.1.77	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.012	*
EC2.1.1.77	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.021	*
EC2.1.1.77	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0168	*
EC2.1.1.8	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.517	*
EC2.1.1.8	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.004	*
EC2.1.1.8	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	10.4	*
EC2.1.1.80	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.03	*
EC2.1.1.80	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.027	*
EC2.1.1.9	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.00E-08	*
EC2.1.1.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.01	*
EC2.1.2.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	10	*
EC2.1.2.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	9.7	*
EC2.1.2.1	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	15.5	*
EC2.1.2.1	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	4.8	*
EC2.1.2.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	7.19	*
EC2.1.2.2	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	7	*
EC2.1.2.3	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.19	*
EC2.1.2.5	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	7	*
EC2.1.2.5	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	43	*
EC2.1.3.3	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	780	*
EC2.1.3.3	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	233	*
EC2.1.3.3	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	885	*
EC2.1.3.3	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	26.4	*
EC2.1.4.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	23.33	*
EC2.1.4.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.00099	*
EC2.1.4.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.34	*
EC2.1.4.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	1.25	*
EC2.2.1.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	10.27	*
EC2.2.1.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.5	*
EC2.2.1.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.88	*
EC2.2.1.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	3.84	*
EC2.2.1.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	15	*
EC2.2.1.5	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.8	*
EC2.2.1.5	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	4.1	*
EC2.2.1.5	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	85	*
EC2.3.1.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.05	*
EC2.3.1.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	25.56	*
EC2.3.1.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	92.4	*
EC2.3.1.118	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0183	*
EC2.3.1.118	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.034	*
EC2.3.1.118	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	74	*
EC2.3.1.12	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	19.4	*
EC2.3.1.12	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	19.7	*
EC2.3.1.13	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	500	*
EC2.3.1.13	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	13.9	*
EC2.3.1.13	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	32	*
EC2.3.1.13	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.105	*
EC2.3.1.135	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.1	*
EC2.3.1.135	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0021	*
EC2.3.1.137	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.072	*
EC2.3.1.142	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	228	*
EC2.3.1.149	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.30E-06	*
EC2.3.1.15	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.192	*
EC2.3.1.15	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.19	*
EC2.3.1.16	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	123	*
EC2.3.1.16	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	597	*
EC2.3.1.168	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	2.38	*
EC2.3.1.17	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	70	*
EC2.3.1.17	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0025	*
EC2.3.1.17	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.10E-05	*
EC2.3.1.192	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	49	*
EC2.3.1.20	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0035	*
EC2.3.1.20	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.169	*
EC2.3.1.20	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.83	*
EC2.3.1.21	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	47.5	*
EC2.3.1.21	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.01059	*
EC2.3.1.21	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0062	*
EC2.3.1.21	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	29.6	*
EC2.3.1.21	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.01528	*
EC2.3.1.22	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.219	*
EC2.3.1.23	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	13.33	*
EC2.3.1.23	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.759	*
EC2.3.1.23	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	9	*
EC2.3.1.23	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.042	*
EC2.3.1.24	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.0148	*
EC2.3.1.24	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	4.90E-05	*
EC2.3.1.26	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.000169	*
EC2.3.1.26	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	9560	*
EC2.3.1.26	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.000156	*
EC2.3.1.26	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0001042	*
EC2.3.1.26	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0017	*
EC2.3.1.26	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.015	*
EC2.3.1.29	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	18	*
EC2.3.1.32	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	1.43	*
EC2.3.1.35	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	12.3	*
EC2.3.1.37	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.87	*
EC2.3.1.38	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	3.81	*
EC2.3.1.39	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.14	*
EC2.3.1.39	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.61	*
EC2.3.1.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	25	*
EC2.3.1.4	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.0054	*
EC2.3.1.42	*	cricetulus griseus//eukaryotes;animals;vertebrates;mammals//cge	0.00245	*
EC2.3.1.42	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00245	*
EC2.3.1.42	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0018	*
EC2.3.1.42	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.861	*
EC2.3.1.43	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	0.55	*
EC2.3.1.43	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	53	*
EC2.3.1.43	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.56	*
EC2.3.1.43	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.14	*
EC2.3.1.43	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.59	*
EC2.3.1.48	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.0014	*
EC2.3.1.48	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00196	*
EC2.3.1.5	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.55	*
EC2.3.1.5	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	28	*
EC2.3.1.5	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.198	*
EC2.3.1.50	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00135	*
EC2.3.1.50	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	4.40E-05	*
EC2.3.1.50	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6.30E-05	*
EC2.3.1.51	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.44	*
EC2.3.1.52	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.073	*
EC2.3.1.56	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0075	*
EC2.3.1.56	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.097	*
EC2.3.1.57	*	cricetulus griseus//eukaryotes;animals;vertebrates;mammals//cge	26	*
EC2.3.1.57	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	45	*
EC2.3.1.57	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0106	*
EC2.3.1.57	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	8.102	*
EC2.3.1.6	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	142	*
EC2.3.1.6	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	50	*
EC2.3.1.6	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	73	*
EC2.3.1.63	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.00046	*
EC2.3.1.65	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	46.9	*
EC2.3.1.65	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.041	*
EC2.3.1.65	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	3.88	*
EC2.3.1.67	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4.10E-06	*
EC2.3.1.67	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.00033	*
EC2.3.1.67	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.317	*
EC2.3.1.7	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	85	*
EC2.3.1.7	*	camelus dromedarius//eukaryotes;animals;vertebrates;mammals//cdk	94	*
EC2.3.1.7	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	78.75	*
EC2.3.1.7	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	240	*
EC2.3.1.71	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	24	*
EC2.3.1.76	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00084	*
EC2.3.1.78	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	5.351	*
EC2.3.1.78	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.008	*
EC2.3.1.80	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.394	*
EC2.3.1.85	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.6	*
EC2.3.1.85	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2.68	*
EC2.3.1.87	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	7.17	*
EC2.3.1.87	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	10.57	*
EC2.3.1.88	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00027	*
EC2.3.1.9	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.05	*
EC2.3.1.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	100	*
EC2.3.1.9	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	58.2	*
EC2.3.1.97	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.1	*
EC2.3.1.97	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.248	*
EC2.3.1.97	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	7.60E-06	*
EC2.3.1.97	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00076	*
EC2.3.2.13	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	91.7	*
EC2.3.2.13	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.092	*
EC2.3.2.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	956	*
EC2.3.2.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	800	*
EC2.3.2.2	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	21.2	*
EC2.3.2.2	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	510	*
EC2.3.2.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1320	*
EC2.3.2.24	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.81	*
EC2.3.2.4	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	100	*
EC2.3.2.4	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	181	*
EC2.3.2.5	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	18.7	*
EC2.3.2.5	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	11.2	*
EC2.3.2.8	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	1.3	*
EC2.3.2.8	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	7.6	*
EC2.3.2.B11	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0396	*
EC2.3.3.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.076	*
EC2.3.3.10	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.88	*
EC2.3.3.10	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.76	*
